date,portfolio_value,benchmark_value,position,signal,prediction,actual,cash,position_size,pnl,cumulative_return,benchmark_return,price,consecutive_losses
2023-01-27,120918.48,112111.07,-1,-1,-0.005802157585709298,0.008102239345607831,0.0,120797.56,0.0,0.20918478389218595,0.12111068229845667,9528.23,1.0
2023-01-30,118944.46,111941.28,0,0,-0.002737223129460086,0.014354937038828064,118944.46,0.0,-1734.04,0.18944455025321513,0.11941281951118493,9513.8,2.0
2023-01-31,118944.46,112064.24,0,0,-0.003940147661983108,0.010599259784235038,118944.46,0.0,0.0,0.18944455025321513,0.12064238750335339,9524.25,2.0
2023-02-01,118944.46,112997.42,-1,-1,-0.00733596665703462,0.0019419881793834026,0.0,118825.51,0.0,0.18944455025321513,0.1299741614228631,9603.56,2.0
2023-02-02,119036.85,112435.34,-1,-1,-0.005352625499039727,-0.000777539062704391,0.0,118917.9,92.39,0.19036846501435706,0.1243534472615346,9555.79,2.0
2023-02-03,118931.69,113019.42,0,0,-0.002932840632983465,-0.0011170764869453675,118931.69,0.0,132.84,0.18931691696224662,0.13019418937935653,9605.43,0.0
2023-02-06,118931.69,113548.19,0,0,-0.0036960060108377256,0.0019750538062270895,118931.69,0.0,0.0,0.18931691696224662,0.1354819200557249,9650.37,0.0
2023-02-07,118931.69,113252.04,0,0,-0.0016341082500489616,-0.006476748535095389,118931.69,0.0,0.0,0.18931691696224662,0.13252036729372688,9625.2,0.0
2023-02-08,118931.69,113216.86,-1,-1,-0.006386906473145137,-0.015878888529765933,0.0,118812.76,0.0,0.18931691696224662,0.132168557887355,9622.21,0.0
2023-02-09,119399.81,112347.92,-1,-1,-0.010317170794809554,-0.0039399436133535914,0.0,119280.88,468.12,0.1939980727118942,0.1234792185360023,9548.36,0.0
2023-02-10,120018.67,112893.17,-1,-1,-0.006290402452322288,-0.00518828103015212,0.0,119899.74,618.86,0.20018669975218437,0.1289316760247186,9594.7,0.0
2023-02-13,120707.24,113772.46,-1,-1,-0.0070645827286675966,-0.005742841098182683,0.0,120588.3,688.57,0.20707235119894393,0.13772455794383293,9669.43,0.0
2023-02-14,119351.45,112518.53,0,0,-0.0038609713495685173,0.009266056388988142,119351.45,0.0,-1117.38,0.19351454483371286,0.12518531766389146,9562.86,1.0
2023-02-15,119351.45,111419.1,1,1,0.01188183433852321,0.01812149001734009,0.0,119232.1,0.0,0.19351454483371286,0.1141909795597558,9469.42,1.0
2023-02-16,121867.17,111905.28,1,1,0.005013279613706824,0.02109930457566911,0.0,121747.82,2515.71,0.21867168940375356,0.11905277376419589,9510.74,1.0
2023-02-17,123219.39,112307.45,0,0,0.004932306698274305,0.013100162180510688,123219.39,0.0,1594.92,0.232193909064403,0.12307446122566165,9544.92,0.0
